customer_id,time_period,after,treatment_group,sales
1,1,0,control,3.31
995,1,0,treatment,0
730,1,0,treatment,7.92
697,1,0,treatment,0
929,1,0,treatment,0
896,1,0,treatment,1.24
631,1,0,treatment,8.14
598,1,0,treatment,3.1
333,1,0,control,2.82
300,1,0,control,7.17
797,1,0,treatment,3.29
2,1,0,control,0
996,1,0,treatment,0
731,1,0,treatment,0
698,1,0,treatment,6.29
930,1,0,treatment,3.56
897,1,0,treatment,1.17
632,1,0,treatment,4.15
599,1,0,treatment,8.99
334,1,0,control,0
301,1,0,control,0
798,1,0,treatment,0
3,1,0,control,1.21
997,1,0,treatment,0
732,1,0,treatment,3.13
699,1,0,treatment,3.94
931,1,0,treatment,6.42
898,1,0,treatment,1.24
633,1,0,treatment,0
600,1,0,treatment,1.47
335,1,0,control,0
302,1,0,control,0
799,1,0,treatment,6.65
4,1,0,control,2.64
998,1,0,treatment,0
733,1,0,treatment,0.96
700,1,0,treatment,0
932,1,0,treatment,4.03
899,1,0,treatment,2.58
634,1,0,treatment,0
601,1,0,treatment,4.44
336,1,0,control,0
303,1,0,control,7.61
800,1,0,treatment,6.53
5,1,0,control,0
999,1,0,treatment,0
734,1,0,treatment,8.95
701,1,0,treatment,4.52
933,1,0,treatment,0.83
900,1,0,treatment,3.52
635,1,0,treatment,0
602,1,0,treatment,0
337,1,0,control,0
304,1,0,control,0
801,1,0,treatment,12.66
6,1,0,control,0
1000,1,0,treatment,7.46
735,1,0,treatment,0
702,1,0,treatment,0
934,1,0,treatment,3.4
901,1,0,treatment,1.66
636,1,0,treatment,0
603,1,0,treatment,0
338,1,0,control,5.7
305,1,0,control,2.84
802,1,0,treatment,0
7,1,0,control,0
504,1,0,treatment,0.71
736,1,0,treatment,3.9
703,1,0,treatment,0
935,1,0,treatment,1.02
902,1,0,treatment,3.45
637,1,0,treatment,0
604,1,0,treatment,1.71
339,1,0,control,0
306,1,0,control,0
803,1,0,treatment,0.29
8,1,0,control,0
505,1,0,treatment,0
737,1,0,treatment,2.49
704,1,0,treatment,4.21
936,1,0,treatment,4.37
903,1,0,treatment,4.28
638,1,0,treatment,0.44
605,1,0,treatment,7.98
340,1,0,control,5.68
307,1,0,control,5.29
804,1,0,treatment,4.32
9,1,0,control,0
506,1,0,treatment,0.14
738,1,0,treatment,0
705,1,0,treatment,1.71
937,1,0,treatment,0.26
904,1,0,treatment,0.34
639,1,0,treatment,4.13
606,1,0,treatment,0
341,1,0,control,5.77
308,1,0,control,2.31
805,1,0,treatment,0
10,1,0,control,2.65
507,1,0,treatment,0
739,1,0,treatment,0
706,1,0,treatment,9.82
938,1,0,treatment,0
905,1,0,treatment,7.56
640,1,0,treatment,0.05
607,1,0,treatment,0
342,1,0,control,5.45
309,1,0,control,0
806,1,0,treatment,1.66
11,1,0,control,0
508,1,0,treatment,0
740,1,0,treatment,0
707,1,0,treatment,0
939,1,0,treatment,4.42
906,1,0,treatment,2.53
641,1,0,treatment,0
608,1,0,treatment,2.07
343,1,0,control,8.11
310,1,0,control,0
807,1,0,treatment,0
12,1,0,control,0
509,1,0,treatment,6.76
741,1,0,treatment,0
708,1,0,treatment,0.14
940,1,0,treatment,0
907,1,0,treatment,3.61
642,1,0,treatment,1.21
609,1,0,treatment,0
344,1,0,control,1.58
311,1,0,control,0
808,1,0,treatment,0
13,1,0,control,0
510,1,0,treatment,0
742,1,0,treatment,0
709,1,0,treatment,4.59
941,1,0,treatment,0
908,1,0,treatment,0.79
643,1,0,treatment,0
610,1,0,treatment,13.35
345,1,0,control,1.8
312,1,0,control,0.36
809,1,0,treatment,0
14,1,0,control,0
511,1,0,treatment,0
743,1,0,treatment,8.52
710,1,0,treatment,7.99
942,1,0,treatment,0
909,1,0,treatment,4.54
644,1,0,treatment,3.64
611,1,0,treatment,0
346,1,0,control,5.49
313,1,0,control,0
810,1,0,treatment,7.57
15,1,0,control,4.4
512,1,0,treatment,0
744,1,0,treatment,2.79
711,1,0,treatment,0
943,1,0,treatment,3.5
910,1,0,treatment,0
645,1,0,treatment,0
612,1,0,treatment,1.31
347,1,0,control,6.9
314,1,0,control,5.38
811,1,0,treatment,0
16,1,0,control,0
513,1,0,treatment,0.53
745,1,0,treatment,9.68
712,1,0,treatment,0
944,1,0,treatment,3.65
911,1,0,treatment,0
646,1,0,treatment,0
613,1,0,treatment,2.67
348,1,0,control,0.69
315,1,0,control,0
812,1,0,treatment,2.71
17,1,0,control,2.26
514,1,0,treatment,1.63
746,1,0,treatment,6.72
713,1,0,treatment,11.43
945,1,0,treatment,5.97
912,1,0,treatment,0
647,1,0,treatment,4.42
614,1,0,treatment,0
349,1,0,control,0.18
316,1,0,control,0.61
813,1,0,treatment,0
18,1,0,control,0
515,1,0,treatment,0
747,1,0,treatment,6.34
714,1,0,treatment,0
946,1,0,treatment,0
913,1,0,treatment,0.82
648,1,0,treatment,0
615,1,0,treatment,10.05
350,1,0,control,0
317,1,0,control,3.8
814,1,0,treatment,7.08
19,1,0,control,1.67
516,1,0,treatment,4.38
748,1,0,treatment,3.84
715,1,0,treatment,0
947,1,0,treatment,2.39
914,1,0,treatment,0
649,1,0,treatment,3.79
616,1,0,treatment,9.66
351,1,0,control,0
318,1,0,control,0.09
815,1,0,treatment,5.25
20,1,0,control,0
517,1,0,treatment,0
749,1,0,treatment,0
716,1,0,treatment,0
948,1,0,treatment,7.85
915,1,0,treatment,3.21
650,1,0,treatment,1.35
617,1,0,treatment,0.92
352,1,0,control,9
319,1,0,control,7.1
816,1,0,treatment,2.94
21,1,0,control,0
518,1,0,treatment,0
750,1,0,treatment,6
717,1,0,treatment,0.3
949,1,0,treatment,14.25
916,1,0,treatment,4.45
651,1,0,treatment,0
618,1,0,treatment,13.17
353,1,0,control,0.23
320,1,0,control,0
817,1,0,treatment,3.38
22,1,0,control,1.72
519,1,0,treatment,3.48
751,1,0,treatment,1.44
718,1,0,treatment,0
950,1,0,treatment,0
917,1,0,treatment,5.12
652,1,0,treatment,2.2
619,1,0,treatment,0
354,1,0,control,0.9
321,1,0,control,0
818,1,0,treatment,3.75
23,1,0,control,0
520,1,0,treatment,3.21
752,1,0,treatment,0
719,1,0,treatment,3.68
951,1,0,treatment,6.83
918,1,0,treatment,4.08
653,1,0,treatment,0
620,1,0,treatment,0
355,1,0,control,1.95
322,1,0,control,13.7
819,1,0,treatment,2.78
24,1,0,control,1.93
521,1,0,treatment,0
753,1,0,treatment,3.3
720,1,0,treatment,4.15
952,1,0,treatment,4.2
919,1,0,treatment,1.94
654,1,0,treatment,4.19
621,1,0,treatment,5.91
356,1,0,control,5.54
323,1,0,control,0
820,1,0,treatment,0
25,1,0,control,0
522,1,0,treatment,8.81
754,1,0,treatment,0.46
721,1,0,treatment,9.83
953,1,0,treatment,4.76
920,1,0,treatment,7.82
655,1,0,treatment,0
622,1,0,treatment,3.46
357,1,0,control,0
324,1,0,control,9.82
821,1,0,treatment,0
26,1,0,control,0
523,1,0,treatment,0
755,1,0,treatment,0
722,1,0,treatment,4
954,1,0,treatment,7.33
921,1,0,treatment,0
656,1,0,treatment,0
623,1,0,treatment,2.44
358,1,0,control,8.75
325,1,0,control,6.03
822,1,0,treatment,0
27,1,0,control,0
524,1,0,treatment,8.21
756,1,0,treatment,0
723,1,0,treatment,1.55
955,1,0,treatment,0.51
922,1,0,treatment,0.2
657,1,0,treatment,7.41
624,1,0,treatment,0.63
359,1,0,control,0
326,1,0,control,3.41
823,1,0,treatment,0
28,1,0,control,0
525,1,0,treatment,4.03
757,1,0,treatment,0
724,1,0,treatment,2.08
956,1,0,treatment,12.33
923,1,0,treatment,0
658,1,0,treatment,0
625,1,0,treatment,0
360,1,0,control,4.45
327,1,0,control,0
824,1,0,treatment,2.21
29,1,0,control,4.1
526,1,0,treatment,6.62
758,1,0,treatment,0
725,1,0,treatment,0.49
957,1,0,treatment,1.22
924,1,0,treatment,4.59
659,1,0,treatment,0
626,1,0,treatment,0
361,1,0,control,0.76
328,1,0,control,1.47
825,1,0,treatment,3.4
30,1,0,control,0
527,1,0,treatment,0.02
759,1,0,treatment,0
726,1,0,treatment,0
958,1,0,treatment,3.49
925,1,0,treatment,0.11
